Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C141,680p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,202.000000,-106.500000,180.000000,top
R1,3k3,R_0805_2012Metric,199.400000,-63.275000,180.000000,top
R2,3k3,R_0805_2012Metric,199.400000,-58.075000,180.000000,top
R3,3k3,R_0805_2012Metric,199.400000,-65.225000,180.000000,top
R4,3k3,R_0805_2012Metric,199.400000,-60.025000,180.000000,top
R5,3k3,R_0805_2012Metric,199.400000,-78.875000,180.000000,top
R6,3k3,R_0805_2012Metric,199.400000,-84.075000,180.000000,top
R7,3k3,R_0805_2012Metric,199.400000,-86.025000,180.000000,top
R8,3k3,R_0805_2012Metric,199.400000,-80.825000,180.000000,top
R9,3k3,R_0805_2012Metric,196.475000,-62.625000,270.000000,top
R10,3k3,R_0805_2012Metric,196.475000,-83.425000,270.000000,top
R11,3k3,R_0805_2012Metric,205.575000,-54.825000,180.000000,top
R12,3k3,R_0805_2012Metric,204.275000,-64.575000,180.000000,top
R13,3k3,R_0805_2012Metric,205.575000,-75.625000,180.000000,top
R14,3k3,R_0805_2012Metric,204.275000,-85.375000,180.000000,top
R15,49R9,R_0805_2012Metric,210.125000,-57.100000,180.000000,top
R16,49R9,R_0805_2012Metric,208.825000,-64.575000,180.000000,top
R17,49R9,R_0805_2012Metric,210.125000,-77.900000,180.000000,top
R18,49R9,R_0805_2012Metric,208.825000,-85.375000,180.000000,top
R19,560R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,214.750000,-104.155000,0.000000,top
R20,560R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,214.750000,-101.385000,0.000000,top
R21,0R,R_0805_2012Metric,206.500000,-115.250000,90.000000,top
R22,0R,R_0805_2012Metric,204.500000,-115.250000,90.000000,top
R23,1k,R_0805_2012Metric,133.490000,-82.220000,180.000000,top
R24,1k,R_0805_2012Metric,136.665000,-72.060000,180.000000,top
R25,1k,R_0805_2012Metric,140.475000,-89.205000,180.000000,top
R26,1k,R_0805_2012Metric,140.475000,-72.060000,180.000000,top
R27,1k,R_0805_2012Metric,148.730000,-86.665000,180.000000,top
R28,1k,R_0805_2012Metric,148.730000,-84.125000,0.000000,top
R29,4k7,R_0805_2012Metric,117.615000,-87.935000,270.000000,top
R30,1M2,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,220.850000,-46.700000,0.000000,top
